to,from,weight
ASV804,ASV1542,1
ASV392,710ecb4505ef3318c6df049aa439f507,0.998569692
ASV76,ASV243,0.006618808
ASV1765,ASV117,1
ASV747,7a53176307f0f04ba8ff4fed2cb4c274,1
ASV1801,ASV1141,0.022222577
ASV768,ASV1145,6.19E-04
ASV1016,ASV1145,1
ASV352,ASV30,1
fa19522f4a04124c8aeb8b8247645879,ASV1145,5.24E-04
ASV526,c57c80b904fe1d31d276fe185494d61e,1.11E-16
ASV1127,ASV31,0.293248278
ASV328,509ace08b5aa48a88deb5bdad25845d3,0.167043433
ccbef4f7fdf76aab7fed38193f0dbbb4,6e62698c5e7896acb3a16c75c2adec1e,0.002473508
ASV27,ASV66,0.857142857
ASV1209,ASV570,1
6750c6f1b2e9b5eb18c01044ef04b255,ASV352,0.081283396
ASV249,ASV1004,1
ASV249,ASV1364,1
ASV328,ASV768,0.19419294
ASV111,ASV58,0.993684496
ASV1209,ASV76,1
ASV943,411dc3c2024aedcc3a2e98373cbfd904,1
ASV1969,ASV111,0.047096244
a374682230a829573120efb75d1bd96b,7491e559c46784c3c627e6d37ef33128,1
ASV667,ASV57,1
ASV876,07d8d1545671fcbe90bfbecd0552c767,0
ASV448,ASV1543,0.00251382
ASV1765,ASV100,0.755928946
835f49fc13f0f9a859af009937925151,ASV1158,0.00406353
ASV1878,ASV117,1
ASV897,ASV133,1
ccbef4f7fdf76aab7fed38193f0dbbb4,ASV57,1
ASV281,ASV117,1
d9f8ab9eab576c318fe0b1eb43da07ed,ASV1145,1
ASV1017,ASV1769,0.028032563
ASV952,ASV1145,1
ASV637,710ecb4505ef3318c6df049aa439f507,0.99933617
eceddaca443bec367cef72b93e49d8f3,ASV344,0.755928946
ASV1127,ASV1158,1
ASV431,ASV392,0.298914814
ASV1677,ASV742,0.134630355
ASV74,ASV392,1
ASV1677,ASV1004,1
ASV1677,ASV1364,0.04682204
ASV1092,ASV414,0.999916414
ASV1549,ASV30,1
ASV178,ASV392,0.57231653
ASV1878,ASV100,0.755928946
ASV243,ASV1004,0.02790439
ASV243,ASV1364,0.044417806
ASV1231,710ecb4505ef3318c6df049aa439f507,1
ASV713,ASV1769,1
710ecb4505ef3318c6df049aa439f507,b3c35c04f4a0b80371156dd6483f1b25,1.11E-16
ASV281,ASV100,0.991526943
ASV1765,ASV1878,1
