to,from,weight
79665684c2e22a0df26bcf25a733ec11,c39bf97ce1a5f10b6929284d1b7047e7,0.10718419
2e61138ee368406f323ec286705114c8,55a1c729d9c6eef17027c2904d915549,0.99893067
0e3167cdfdf4385c15dfb76742ceb128,1d33cee1a9b9ae4e5881652d780b4d7d,0.99590982
46e70d0e2f665d9548a453a36fac4a97,816940008461a028f4002370ac6135e0,0.99694055
1ae3115b44da5697539586454bede102,55a1c729d9c6eef17027c2904d915549,0.99893067
23b18fcfd9ede6f036451ad8b38064fd,cf8687dcd03bd176bcd09fea0db3d92b,0.9994885
ff7a2047d4aa4fab6853ddaf9de09717,9c775120aef652d0ebfefa367692f9c1,0.7592566
a374682230a829573120efb75d1bd96b,29520bf2feb56ec408f49c57d54443ad,0.03789368
79665684c2e22a0df26bcf25a733ec11,4b5cb5a8230203056b134ca73a45b9b9,0.01649072
2ed489b12764a88998cb051524056d6c,751f8605e682945073ba9ec1a783fb6d,0
d87ca89bfb59e933ee4ae04378a46519,cf8687dcd03bd176bcd09fea0db3d92b,0.9994885
d93b5b07c4e0985487a43cad83a7db02,cf8687dcd03bd176bcd09fea0db3d92b,0.9994885
5dbfe98f935edf803b9cfa75f0cf197e,0a13d67cde8cfda8c9b8651bb01a14e4,0
a374682230a829573120efb75d1bd96b,29520bf2feb56ec408f49c57d54443ad,0.9992298
970a0f4184a8820116f827e881f75110,f23328c9fa07f8f543abb8a44b432e52,0.75169277
7491e559c46784c3c627e6d37ef33128,e334d5627a7db276834595878733cc92,1.21E-04
cf8687dcd03bd176bcd09fea0db3d92b,975fd3d098c120e5a106f8144a77655f,0.9994885
79665684c2e22a0df26bcf25a733ec11,c39bf97ce1a5f10b6929284d1b7047e7,0.04040197
36442ff3164da4f5e05389527bfe1937,403676a14de7a92b9d2cf81d77198db6,0.96875
8c4508e3631b2033e0cec22dbae1fc94,bc5da0f86fbd1abfb9dfce5742a6779f,0.99901228
42dd9eaab68140c17289d61793391052,31fe57c27c4f918d7c2c76811ae8f65c,0.056873
8c4508e3631b2033e0cec22dbae1fc94,c57c80b904fe1d31d276fe185494d61e,0.99901228
e334d5627a7db276834595878733cc92,d9f8ab9eab576c318fe0b1eb43da07ed,0.00263244
55a1c729d9c6eef17027c2904d915549,a6a2f364cfcbbafeca8b773e47dc137e,0.99893067
