to,from,weight
29186291c93cdcf656c0391fa898fc7a,82b5403937e08146a64d6101d2cb880c,0.99987918
fd07335caf9d9a9dcda4d756128c7510,2389da4b862309dcbbcd8ae1aadbfa7a,0.92994153
6b90705e46ac78f2834acbc6ba96e268,e1931420ccad1038703bd25bb0bb5d92,1.07E-05
793ad35a7f0eb5e8fb67d66156d4b615,2389da4b862309dcbbcd8ae1aadbfa7a,0.92994153
83d7e4a13146781b75655cc637c1273e,9f83740060820e3ef0cbab8062d10e37,0.46578506
365bd60700e3a5fb28920543c63a6345,e1d69a053e7196849a4e4145379403a7,0.77342201
c8391c53706cd6906ba2bc2d5b6c63b1,76a5de16dfe2c7ea1ea2b07fe440856b,0.72886899
e42fa698794cf27da8c646b9511e0219,4b5cb5a8230203056b134ca73a45b9b9,0.99788715
a55c0f4fe077a95d784f11d613c7ac57,02f1431a44a94e4bd06c0877daac2966,0.80915293
5abf5669340420916ec40cbdd0e55d24,3a56418c128a5c2113b6b94af584ca21,0.67046694
bd12ba5777ff5b7fc5fbb4a34d40d2f4,113bc0f44cf8b48ec58f94b5e32da3b5,0.66711652
5db9c928fe9b94bf240e91695ec3dea0,ab3cf208fa384d88a2ca676488b394aa,0.69068602
c6409fd021cbcc236042125a17958932,8dc0ea9f9c4c515273dc2d5173387579,0.6098683
09d903ea0a5d4e5ff79bd9eadb230f5a,f3310647c8d88f0cb6c908add39857cc,0.08947128
b708275c3105741a969f2b1d91eee3af,0c34338dfac6da1a338833f8c163fe16,0
fba7392ffa200f3c4c28275b3de92aa3,3b53b0f3001955b8b0b84f0a8c107b1e,1
b6f6e95fbd4af8ecce015addc00d751b,3e51096079fef010c96d3d1c3d93a302,0.72733631
7d4966f4ae3f7cd3b0bfc75a2e87fed2,ab3cf208fa384d88a2ca676488b394aa,0.88206393
4e4560e2d3b46ea12ccca6a3508211d1,4b5cb5a8230203056b134ca73a45b9b9,0.29236115
ec301ce115e6db15e2d8068068c952c1,01344683a3193483a5928ba9ea03b10c,1
a55c0f4fe077a95d784f11d613c7ac57,8900780275e350936a795ffde79879d5,1
5f6701937679120c7904d66ed0acd41c,baaaab214ddb72326d8523e6e687a7ee,0.99804022
e28ec055ba513df447581e3f4a56bc86,5abe4f4ec07d0d72bd962788cf7ec03c,0.99596916
ec301ce115e6db15e2d8068068c952c1,e29f676da177554e5013d56793669bfd,0.75606049
46e70d0e2f665d9548a453a36fac4a97,30bac70d2c127e7fb4a2e60a9bffc196,0
ab3cf208fa384d88a2ca676488b394aa,bd12ba5777ff5b7fc5fbb4a34d40d2f4,3.47588036
b11162d4f31753816928af9e47b9f715,cd7f62849cb914f3931a5cec115b4a44,1.15E-04
bea64f96c7e36d86cb5429529a6805d0,ca9094a7ab9910a01cec944b6a68a3be,0.63813864
c6c1e4b5e6be7d0464c5632b61783418,793ad35a7f0eb5e8fb67d66156d4b615,0
2f65c91e14befc3e3d62dc92e12e9313,ab3cf208fa384d88a2ca676488b394aa,0.45019697
0c34338dfac6da1a338833f8c163fe16,dcca180ea4c788f281ef90007ddbb882,0
d70f018cc575f38e7325cc23dcc85bea,5abf5669340420916ec40cbdd0e55d24,0.86263907
c9c2e43509394fea25c9d9f3c26ba58e,833df30d111cfa84517e240be048c468,0.06466141
d8afc147579e4912e2ee4c975e9374d2,4f6326acf3ef470d507913d03d1cd123,0.8897525
83a5930da3fde5174fb0b54b36ed83d2,a52fbbb649297c43a603cd22506cd9e7,4.78674728
b11162d4f31753816928af9e47b9f715,9af774d63bf869a296c3708419e93985,1.55E-04
e2c628fd08e20e76a91c142b54e21a2a,5f6701937679120c7904d66ed0acd41c,0.99922617
aac3a2791e3f2f6b96c8dd80d99cbc06,d8afc147579e4912e2ee4c975e9374d2,0.8897525
09d903ea0a5d4e5ff79bd9eadb230f5a,365bd60700e3a5fb28920543c63a6345,0.6279486
8e5022d1281d9ec0647ed1f17400fb67,41577791c50767096f5458b5772a8807,0.08118003
5a0eda03c223ade225a5dca127c32b5b,da30d2609104bfa7dd9ffd04f1b27ffb,0
399fdcf9abac0d03b00f63e93edfd481,869675838f1756f60370351cfa029b05,0.72886899
29d5a2dd1737b663b0c5d481ad0105cf,82b5403937e08146a64d6101d2cb880c,0.6526251
5a0eda03c223ade225a5dca127c32b5b,da30d2609104bfa7dd9ffd04f1b27ffb,0.04429145
8dc0ea9f9c4c515273dc2d5173387579,bd12ba5777ff5b7fc5fbb4a34d40d2f4,2.1392823
e29f676da177554e5013d56793669bfd,4b5cb5a8230203056b134ca73a45b9b9,0.78489553
fd07335caf9d9a9dcda4d756128c7510,2389da4b862309dcbbcd8ae1aadbfa7a,1.88432611
