to,from,oriScore
ASV76,ASV243,2.756432734
ASV448,ASV32,0.387303404
ASV109,ASV839,5.711093024
ASV602,ASV106,0.883698674
a55c0f4fe077a95d784f11d613c7ac57,b708275c3105741a969f2b1d91eee3af,1
38abf872c874e6d8100b4ef46b8c40fd,8900780275e350936a795ffde79879d5,1
ASV119,ASV670,2.323312499
ASV27,ASV66,0.642739411
ASV995,ASV1372,0.005704843
ASV76,ASV1201,1.11E-16
399fdcf9abac0d03b00f63e93edfd481,ASV818,1
ASV109,ASV1010,5.711093024
ASV76,ASV1200,1
ASV154,ASV1025,5.839489873
ASV109,ASV8,0.646478823
ASV1214,ASV9,0.78374976
ASV81,ASV1595,5.695783241
ASV448,ASV27,4.442894302
ASV111,ASV55,0.081433723
ASV448,ASV23,0.709745341
411dc3c2024aedcc3a2e98373cbfd904,a55c0f4fe077a95d784f11d613c7ac57,5.06E-04
6750c6f1b2e9b5eb18c01044ef04b255,ASV94,0.726567402
e29f676da177554e5013d56793669bfd,32693189c9b57f4523ea52ed37c56f3a,0.6631153
ASV74,ASV839,5.396517817
ASV27,ASV58,5.491195737
ASV27,ASV55,0.50141576
a52fbbb649297c43a603cd22506cd9e7,32693189c9b57f4523ea52ed37c56f3a,0.728868987
ASV1698,ASV9,3.338923361
ASV98,ASV1220,5.85157494
da95059d70300111c7e409ff878cd4b2,8900780275e350936a795ffde79879d5,0.637760363
ASV32,ASV1344,0.399927999
ASV81,ASV670,0.638870468
ASV995,ASV111,0.998453065
ASV433,8900780275e350936a795ffde79879d5,0.340868737
ASV119,6750c6f1b2e9b5eb18c01044ef04b255,0.537061359
ASV763,ASV268,0.621994199
ASV1897,a52fbbb649297c43a603cd22506cd9e7,5.652199686
ASV448,ASV1897,2.915298037
ASV119,ASV1897,0.537061359
411dc3c2024aedcc3a2e98373cbfd904,da95059d70300111c7e409ff878cd4b2,5.016166991
ASV81,ASV77,0.652625102
ASV81,ASV76,0.638870468
ASV347,ASV1243,0.381531792
ASV308,ASV634,0.320404722
d71646d454f76e1aef54ae0da4e0f01a,9c0e35aab9c3645fa3182513b254cc5d,1
