to,from,weight
901d2a7a82bb4f8d1c35cb2b94c58430,902c648849542628c076bcc74cff9f0d,1
060e7a6e5b5a53888b5a9afda5777e07,971f7a410766982a22092e949aad737a,1.92163652
f735883803424fd90284bdb8c158ab96,0e3167cdfdf4385c15dfb76742ceb128,0.41673715
36442ff3164da4f5e05389527bfe1937,0d0de99abf2440b20a0c555bec4e8987,0.73515506
7f63affd0132db2e09f2ae8e86bbbc16,36442ff3164da4f5e05389527bfe1937,0.52742788
f23328c9fa07f8f543abb8a44b432e52,b11162d4f31753816928af9e47b9f715,0.60246785
878a35347f3e227d5ca7683772399708,8ec05a9469417ace9317f46583324ed4,0.84236943
5dbfe98f935edf803b9cfa75f0cf197e,5ab75def4e6aa82a790cbc92161365b1,0.72547625
87d26d095f6c505ee527aa3d930db0c7,e6a2c696b878d825c7ad49d59281ca0a,1
8ec05a9469417ace9317f46583324ed4,784833580054b0b8670ff0d1642746ee,0.89263546
78269698be6b2f5440f3009141e01528,83d7e4a13146781b75655cc637c1273e,1.72E-04
878a35347f3e227d5ca7683772399708,da95059d70300111c7e409ff878cd4b2,0.95728016
09d903ea0a5d4e5ff79bd9eadb230f5a,f3310647c8d88f0cb6c908add39857cc,0.45584238
82b41622e2b04fccdb9244d66b5315db,3af5ba723131bdae7a9efe4c09c36190,1
312c7036283000719df37539f1b70278,3ee42b2263827ef0cb35c3a525005617,0.90991996
cd6b7936ba4c5252ce3773d276e695ac,e09be27aeb2034352b1bcf784447820f,0.31362522
823640b5d2e3a175da37d3ad51dbbca3,b1820d797923f551d2d474a05aed91e0,0.94880335
b8426421accb0c3d811400394683b210,901d2a7a82bb4f8d1c35cb2b94c58430,1
0ee5141e2c242eda74d7b6d5090d1deb,5ab75def4e6aa82a790cbc92161365b1,0.49108175
060e7a6e5b5a53888b5a9afda5777e07,d3d485e1f6dc9e536b62c96b71a8899a,0.51634025
980efb771de96208c6f98a0305684ca6,8f9765529ac89e48355497cd47600e95,0
83d7e4a13146781b75655cc637c1273e,b585eeb1e696c786a926513ca77d16c5,8.81E-04
aac3a2791e3f2f6b96c8dd80d99cbc06,71a02d4f55a9ad688238a55d59a903e7,3.36987016
ff7a2047d4aa4fab6853ddaf9de09717,43289482e53a6fecf7da52398ce8acb8,0.38548993
79bd07da956d7dbf2800bbed9d2e4435,f3310647c8d88f0cb6c908add39857cc,2.78815464
5034a3a743b67703224aea6df15d9046,ae1902cbcdd30f51dba0d97b30d770b2,0.7451949
cd6b7936ba4c5252ce3773d276e695ac,e09be27aeb2034352b1bcf784447820f,0.90587955
d319c192af37ec014b89827fd4cf7325,e09be27aeb2034352b1bcf784447820f,0.90587955
87d26d095f6c505ee527aa3d930db0c7,79bd07da956d7dbf2800bbed9d2e4435,1
835f49fc13f0f9a859af009937925151,8fbb21ca159cc3634eefc2ac3fb18890,0.96851489
b11162d4f31753816928af9e47b9f715,399fdcf9abac0d03b00f63e93edfd481,0.70428483
9e9167e0a8f957bc08da4f2920e328c4,ddf3e772358a4cda4f585b4d15d78d4f,0
