to,from,weight
ASV444,ASV178,0.72547625
ASV1579,ASV55,3.860270086
ASV787,ASV1299,1
ASV119,ASV1558,4.500021492
ASV31,ASV1520,0.769289414
ASV117,ASV414,1
ASV1401,784833580054b0b8670ff0d1642746ee,0.054605709
ASV1558,ASV1299,1
ASV17,ASV860,0.721749498
ASV44,ASV23,4.88024313
ASV77,ASV1332,0.987300014
ASV577,ASV227,0.82471257
ASV1462,ASV23,4.577777038
ASV159,ASV393,0.23009062
399fdcf9abac0d03b00f63e93edfd481,878a35347f3e227d5ca7683772399708,2.672927249
ASV1217,ASV66,5.0912117
ccbef4f7fdf76aab7fed38193f0dbbb4,ASV66,4.447719994
ASV1217,ASV947,1
ASV27,ASV66,0.52927849
6cd8319c6946505cf0dd7ba3101ca336,ASV1332,0.341853798
ASV1732,ASV1057,1
ASV31,ASV1519,0.769289414
ASV414,ASV570,1
ASV995,ASV1809,1
ASV1019,ASV55,0.423960718
ASV1082,ASV947,1
ASV1019,835f49fc13f0f9a859af009937925151,0.861089018
ASV87,ASV1570,3.617659396
4e4ae9e7f5bb4a69d13620a178d74c04,fa19522f4a04124c8aeb8b8247645879,0.246109493
ASV1249,ASV288,1
ASV1614,ASV1882,1
ASV1401,ASV444,1.522024335
ASV275,ASV293,0.540654874
ccbef4f7fdf76aab7fed38193f0dbbb4,ASV58,0.70134111
ASV1207,ASV1253,1
6598ffab6ef90f90ee7a86a9a16f5b82,ASV1332,0.540654874
ASV1462,ASV1460,0.022512402
ASV995,ASV117,1.30E-04
ASV1253,ASV273,0.660654593
ASV1082,ASV44,1
ASV576,ASV117,0.011586015
ASV1081,349a635ea622db56824934499ab10052,1
ASV444,cd6b7936ba4c5252ce3773d276e695ac,0.926845102
6cd8319c6946505cf0dd7ba3101ca336,951da216cb3423c01f473555ea9e8128,0.72547625
ASV323,ASV1108,0.837844687
ASV787,ASV1278,1
ASV1096,ASV1299,1
ASV1518,ASV393,0.217595664
ASV1319,ASV570,0.002006843
ASV1217,ASV133,3.58483157
ASV275,ASV1570,5.180341478
ASV444,da95059d70300111c7e409ff878cd4b2,0.72547625
ASV1922,ASV1685,1
ASV1558,ASV1278,1
ASV526,ASV1518,0.301017619
ASV81,ASV77,0.362144176
ASV1732,ASV576,1
ASV133,ASV773,0.641771355
ASV323,ASV560,0.837844687
ASV526,ASV117,0.272335325
ASV1732,ASV570,0.008604342
ASV1217,ASV44,1
ASV577,f5e86a9841f8fb6613b42e1df9d229fa,0.649110329
ASV444,ASV947,0.649110329
ASV577,ASV560,0.610416475
ASV119,ASV1096,5.013335685
ASV1253,f5e86a9841f8fb6613b42e1df9d229fa,0.026871509
ASV577,2d3181c6a21fd8774c7e24773f5d5e05,0.834803498
ASV1082,ASV133,3.58483157
ASV58,ASV1232,0.70134111
ASV787,ASV106,0.499042512
ASV1732,ASV1037,0.72547625
ASV1081,ASV831,1
ASV787,ASV100,3.513675555
ASV17,ASV839,0.721749498
ASV30,ASV570,1
ASV1519,ASV916,0.002054308
ASV1019,ASV31,0.150928488
ASV831,ASV44,1
ASV1108,ASV560,1
878a35347f3e227d5ca7683772399708,cd6b7936ba4c5252ce3773d276e695ac,1
ASV1614,ASV100,0.546963434
ASV1094,ASV9,4.734041008
f829f7dd05af5b9ae70b3cb07c41bb7a,399fdcf9abac0d03b00f63e93edfd481,0.922314225
ASV1809,ASV1057,0.004339002
ASV81,b0c765a76a3bd24405f68a14ece65115,2.672404851
ASV119,ASV1082,4.500021492
ASV288,ASV393,0.979913232
ASV1082,ASV23,0.459405084
ASV119,ASV1518,0.860467575
ASV1579,ASV12,4.943935845
4e4ae9e7f5bb4a69d13620a178d74c04,ASV178,0.999335052
ASV1096,ASV1278,1
ASV506,ASV344,4.536352063
ASV947,ASV1299,1
ASV1217,ASV27,4.976406155
ASV119,ASV995,0.582488532
ASV159,ASV1057,0.607988327
ASV1217,ASV23,4.094671555
e29f676da177554e5013d56793669bfd,5ab75def4e6aa82a790cbc92161365b1,0.514805123
fa19522f4a04124c8aeb8b8247645879,ASV859,0.999913585
ASV27,ASV23,0.5806426
ASV526,ASV1057,0.326417088
4e4ae9e7f5bb4a69d13620a178d74c04,f829f7dd05af5b9ae70b3cb07c41bb7a,0.322132288
ASV1460,ASV947,0.022512402
ASV217,ASV901,1.355043943
878a35347f3e227d5ca7683772399708,fa19522f4a04124c8aeb8b8247645879,0.015410653
ASV308,ASV178,0.564224872
ASV87,ASV926,0.617813579
ASV1579,ASV293,1
ASV1217,ASV106,2.785978213
ASV831,ASV23,4.88024313
ASV1217,ASV100,0.592886685
ASV1732,ASV1809,1.30E-04
ASV159,ASV344,0.823409018
ASV420,ASV1056,3.46261175
ASV8,ASV560,4.924222978
ASV1319,ASV1518,1
ASV117,ASV288,1
ASV293,ASV1056,1
ASV100,ASV1462,0.732724923
5ab75def4e6aa82a790cbc92161365b1,ASV560,0.72547625
ASV87,ASV481,0.483743834
ASV100,ASV1460,2.971529437
ASV106,ASV1299,0.499042512
ASV926,ASV273,0.533245148
ASV1082,ASV100,0.592886685
4e4ae9e7f5bb4a69d13620a178d74c04,784833580054b0b8670ff0d1642746ee,0.607988327
ASV1704,ASV33,5.082227038
ASV1019,ASV1685,0.017613925
ASV1094,ASV58,4.928189627
ASV774,ASV1462,1
ASV1094,ASV55,4.171766098
ASV860,ASV23,5.001264847
c613f331cf39789e2b4cf12aa809ac30,97ec2ec6d10f95240d3310c44fd3db1e,0.998877562
ASV774,ASV1460,0.085420191
ASV1896,ASV1494,1
ASV888,d8afc147579e4912e2ee4c975e9374d2,0.002395624
ASV159,ASV1037,4.39500015
ASV119,ASV1057,0.582488532
ASV393,ASV1057,0.607988327
ASV133,ASV298,0.661916725
ASV526,ASV1037,0.1679211
ASV133,ASV294,3.58483157
ASV1579,ASV275,0.714010911
ASV1094,ASV1130,1
784833580054b0b8670ff0d1642746ee,fa19522f4a04124c8aeb8b8247645879,0.069289588
ASV1519,ASV1520,1
ASV774,ASV947,0.018871941
ASV1518,ASV344,0.811652405
ASV1217,ASV444,0.649110329
ASV1217,ASV1299,1
f5e86a9841f8fb6613b42e1df9d229fa,ASV33,3.940119813
ASV1685,ASV55,2.623168749
ASV867,835f49fc13f0f9a859af009937925151,0.72547625
ASV831,ASV1096,1
f829f7dd05af5b9ae70b3cb07c41bb7a,ASV859,1
3ee42b2263827ef0cb35c3a525005617,ASV199,3.52352832
ASV106,ASV1278,0.499042512
ASV9,ASV1130,5.030918573
ASV1519,ASV55,2.903204745
ASV785,ASV1462,1
ASV785,ASV1460,1
ASV787,ASV773,1
ASV995,ASV414,1
ASV1319,ASV1057,1
ASV1922,835f49fc13f0f9a859af009937925151,2.731556468
ASV109,ASV323,4.528278057
ASV576,ASV414,7.62E-04
ASV1896,ASV98,0.516207556
ASV1056,ASV55,4.442744025
ASV1019,ASV273,4.160921686
3ee42b2263827ef0cb35c3a525005617,d8afc147579e4912e2ee4c975e9374d2,1
ASV104,ASV133,3.866695781
ASV217,ASV431,0.607988327
ASV1558,ASV1217,1
ASV774,ASV44,1
ASV1249,ASV576,1
ASV526,ASV414,0.72547625
ASV774,ASV133,0.543989556
ASV393,ASV1037,2.725282598
ASV1249,ASV570,0.001297994
ASV831,ASV1082,1
ASV242,ASV195,0.568093385
ASV195,ASV1125,0.564658221
ASV288,ASV344,3.857747385
f829f7dd05af5b9ae70b3cb07c41bb7a,cd6b7936ba4c5252ce3773d276e695ac,1
54dd4aa26421356fd278e399d2603a0b,ASV77,3.407826265
ASV1253,ASV560,1
ASV576,ASV30,1
ASV159,ASV1809,3.1455925
ASV1217,ASV787,1
f829f7dd05af5b9ae70b3cb07c41bb7a,da95059d70300111c7e409ff878cd4b2,0.003132136
ASV1217,ASV785,1
ASV1614,ASV1806,0.001474031
1ded7b3ea35d5ee270110b832d3dc84c,ASV88,0.649110329
ASV526,ASV1809,0.998476885
1ded7b3ea35d5ee270110b832d3dc84c,ASV87,0.539850568
ASV1732,ASV506,0.72547625
ASV1217,ASV1278,1
ASV831,ASV947,0.004595839
ASV1249,ASV1919,1
ASV119,ASV947,5.013335685
da95059d70300111c7e409ff878cd4b2,ASV859,1
878a35347f3e227d5ca7683772399708,784833580054b0b8670ff0d1642746ee,0.010545199
ASV58,ASV1882,0.70134111
ASV1520,ASV916,0.002054308
ASV1319,ASV1037,1.234869428
ASV133,ASV1462,0.543989556
ASV133,ASV1460,0.566455654
ASV199,ASV529,4.753408236
ASV1896,ASV74,0.530575229
ASV1207,5ab75def4e6aa82a790cbc92161365b1,0.485194877
ASV308,878a35347f3e227d5ca7683772399708,0.649110329
ccbef4f7fdf76aab7fed38193f0dbbb4,ASV9,0.538198438
ASV1217,ASV774,1
ASV576,ASV1518,0.004110676
ASV1217,ASV773,0.068733935
ASV104,ASV111,0.345189893
ASV275,ASV1056,0.714010911
ASV901,ASV431,0.001302611
ASV1081,ASV44,1
ASV414,ASV1057,1.06E-04
ASV444,fa19522f4a04124c8aeb8b8247645879,3.038863524
ASV227,2d3181c6a21fd8774c7e24773f5d5e05,0.993824739
ASV1732,ASV1319,1
ASV1082,ASV773,1
ASV420,ASV293,0.6401374
ASV1462,ASV1299,1
ASV831,ASV133,0.566455654
ASV794,ASV1332,1
ASV1130,ASV1056,1.11E-16
ASV119,ASV1809,3.875845607
ASV393,ASV1809,0.979913232
349a635ea622db56824934499ab10052,ASV1299,1
ASV1028,ASV420,0.543989556
ASV506,ASV995,0.72547625
ASV1207,ASV926,0.008754097
ASV81,ASV142,0.582719971
ASV414,ASV393,0.217595664
ASV328,ASV227,0.991453867
ASV774,ASV106,0.689710215
ASV867,ASV1922,0
f5e86a9841f8fb6613b42e1df9d229fa,ASV273,3.77219681
0ed2e810f88dd9a532e34fef3097f56a,ASV529,1
ASV785,ASV831,1
ASV774,ASV100,0.592886685
ASV133,ASV243,2.518714234
ASV1207,ASV481,1
ASV30,ASV1057,0.004339002
ASV1460,ASV9,4.896360997
ASV577,ASV394,0.814401628
ASV1922,ASV916,0.002054308
ASV77,ASV142,0.596206366
ASV344,ASV1919,0.446946234
ASV787,ASV294,1
ASV328,ASV577,0.389583525
ASV529,ASV45,4.092454766
ASV159,ASV995,3.212851787
ASV31,ASV1685,0.681897023
878a35347f3e227d5ca7683772399708,ASV231,0.002370894
ASV787,ASV44,1
ASV1319,ASV1809,0.003255732
ASV1319,ASV393,0.607988327
ASV785,349a635ea622db56824934499ab10052,0.014269467
