OTU	apr13_E_73	apr13_H2O_75	apr13_W_74	apr20_E_82	apr20_H2O_84	apr20_W_83	apr27_H2O_93	apr27_W_92	apr5_E_64	apr5_H2O_66	apr5_W_65	aug3_E_184	aug3_H2O_186	aug3_W_185	jul20_E_175	jul20_H2O_177	jul20_W_176	jul7_E_166	jul7_H2O_168	jul7_W_167	jun1_E_136	jun1_H2O_138	jun1_W_137	jun21_E_157	jun21_H2O_159	jun21_W_158	jun7_E_148	jun7_H2O_150	jun7_W_149	mar15_W_38	mar24_E_46	mar24_H2O_48	mar24_W_47	mar30_E_55	mar30_H2O_57	mar30_W_56	may10_E_109	may10_H2O_111	may10_W_110	may18_E_118	may18_H2O_120	may18_W_119	may25_E_127	may25_H2O_129	may25_W_128	may5_E_100	may5_W_101
40016f47c525598d361577c93057edaf	1400.0	378.0	58.0	4568.0	30440.0	76.0	62.0	33577.0	29505.0	3400.0	79.0	15.0	0.0	34.0	413.0	0.0	0.0	200.0	289.0	389.0	10778.0	0.0	106.0	502.0	371.0	685.0	42.0	0.0	202.0	1506.0	1741.0	44243.0	603.0	8657.0	497.0	73242.0	1206.0	106.0	214.0	29.0	180.0	123.0	791.0	9264.0	472.0	361.0	328.0
3b50e9874fa67e04b49f5a59ecf0059a	814.0	3311.0	59516.0	4474.0	22802.0	2704.0	31299.0	10670.0	7405.0	2267.0	9652.0	16.0	2998.0	53.0	356.0	1711.0	0.0	325.0	195.0	406.0	3980.0	0.0	106.0	155.0	1354.0	863.0	169.0	1252.0	234.0	1103.0	2525.0	9089.0	4513.0	5408.0	664.0	458.0	1470.0	1362.0	231.0	250.0	297.0	61.0	181.0	1353.0	270.0	415.0	724.0
0b36c352632cb1346cdc7d73f9fb376c	8120.0	98.0	2768.0	17.0	204.0	38.0	2208.0	198.0	400.0	16309.0	1021.0	16.0	0.0	12.0	116.0	0.0	0.0	8.0	85.0	21.0	11.0	0.0	294.0	3428.0	0.0	86.0	582.0	0.0	583.0	7442.0	16056.0	11488.0	13705.0	16634.0	9425.0	19.0	8167.0	5822.0	1859.0	1657.0	139.0	202.0	2542.0	49.0	1034.0	961.0	123.0
e416d0916760d2fc17b616e2ac3ad855	51.0	12040.0	4147.0	2441.0	1397.0	7062.0	4323.0	2746.0	775.0	92.0	7442.0	90.0	6118.0	52.0	192.0	4584.0	0.0	267.0	1967.0	356.0	4940.0	55.0	133.0	327.0	6295.0	634.0	353.0	2685.0	116.0	47.0	39.0	923.0	422.0	118.0	84.0	118.0	670.0	659.0	132.0	273.0	6516.0	51.0	615.0	7154.0	179.0	136.0	24902.0
019245104ed4e1a751a760748c8a5205	2596.0	3.0	485.0	0.0	19.0	0.0	37.0	181.0	664.0	5567.0	87.0	0.0	0.0	0.0	9.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	32.0	0.0	2831.0	2972.0	17236.0	15399.0	18260.0	458.0	5643.0	17.0	37.0	14.0	4.0	0.0	0.0	141.0	0.0	13.0	0.0	0.0
78db7fa6b16b73b101fbb8b282b5330e	143.0	5753.0	2898.0	4762.0	4492.0	2656.0	3958.0	2452.0	73.0	563.0	706.0	0.0	1781.0	11.0	390.0	0.0	0.0	366.0	209.0	376.0	13990.0	0.0	11.0	29.0	176.0	905.0	0.0	0.0	0.0	162.0	269.0	143.0	733.0	348.0	73.0	0.0	529.0	1940.0	21.0	43.0	2449.0	13.0	34.0	894.0	27.0	106.0	5804.0
7f09affb7800c06eb209ef901c53285a	528.0	197.0	5.0	1331.0	8592.0	27.0	17.0	10454.0	9464.0	484.0	44.0	0.0	0.0	24.0	159.0	0.0	0.0	45.0	23.0	199.0	335.0	0.0	8.0	119.0	37.0	367.0	8.0	0.0	110.0	266.0	504.0	3439.0	44.0	1230.0	227.0	5076.0	188.0	69.0	101.0	12.0	0.0	59.0	201.0	984.0	100.0	92.0	54.0
b3414d3309fe7a2a4ae2789210149fbb	0.0	540.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	106.0	1545.0	0.0	54.0	461.0	0.0	668.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1199.0	3406.0	9671.0	8439.0	17.0	491.0	2080.0	78.0	5575.0	2087.0	242.0
65432f3230a06da15bbfe7092b024d96	0.0	589.0	0.0	15.0	0.0	14.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	135.0	1305.0	0.0	79.0	452.0	0.0	725.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1190.0	3398.0	9436.0	7798.0	0.0	471.0	1664.0	74.0	5184.0	2278.0	207.0
a01ee026258b40c44eec5e467af6eb07	144.0	68.0	0.0	811.0	1190.0	0.0	0.0	2176.0	3403.0	345.0	0.0	27.0	0.0	0.0	46.0	0.0	0.0	52.0	0.0	34.0	3611.0	0.0	7.0	26.0	51.0	109.0	0.0	30.0	10.0	262.0	121.0	5747.0	78.0	1088.0	73.0	10937.0	54.0	0.0	0.0	0.0	36.0	16.0	0.0	1889.0	56.0	32.0	34.0
2f38f39001cfda87b7b72e0684a07881	4591.0	19.0	224.0	0.0	0.0	9.0	133.0	0.0	231.0	6055.0	134.0	0.0	0.0	27.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	28.0	0.0	0.0	0.0	0.0	61.0	2298.0	8022.0	698.0	56.0	263.0	2921.0	0.0	1455.0	125.0	246.0	100.0	0.0	13.0	115.0	0.0	233.0	10.0	0.0
8735f92a7f18db944bc862777fbd3222	23.0	278.0	0.0	322.0	0.0	0.0	29.0	28.0	0.0	374.0	0.0	0.0	0.0	0.0	460.0	0.0	0.0	208.0	0.0	194.0	426.0	0.0	197.0	366.0	0.0	509.0	257.0	10.0	4186.0	0.0	0.0	0.0	0.0	0.0	151.0	0.0	614.0	625.0	2531.0	2612.0	542.0	1641.0	731.0	711.0	5370.0	4190.0	312.0
5648dccee530d68ceb3e4d7d22cf8756	1235.0	0.0	508.0	0.0	88.0	0.0	543.0	0.0	45.0	2211.0	174.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	580.0	0.0	0.0	0.0	0.0	37.0	1721.0	6268.0	3594.0	3013.0	1985.0	509.0	0.0	579.0	209.0	72.0	66.0	97.0	27.0	98.0	19.0	57.0	20.0	0.0
d46e2205f0c6ecf67b51f83d111c509c	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5104.0	0.0	0.0	0.0	0.0	0.0	3744.0	7231.0	0.0	0.0	1694.0	0.0	0.0	0.0	0.0	6.0	5451.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4c0e9bf9de7c75cb58f052b3a376a818	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	311.0	1650.0	0.0	3916.0	870.0	0.0	0.0	45.0	127.0	253.0	417.0	25.0	461.0	115.0	0.0	7049.0	228.0	0.0	1574.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	60.0	897.0	231.0	29.0	23.0	439.0	938.0	480.0	1056.0	148.0	10.0
93220650f07ab0bf22586a19901b3487	0.0	415.0	42.0	3573.0	2873.0	129.0	0.0	383.0	0.0	0.0	79.0	3.0	120.0	73.0	0.0	0.0	0.0	288.0	0.0	182.0	6059.0	0.0	0.0	4.0	26.0	2389.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	1629.0	652.0	89.0	256.0	51.0	40.0	50.0	978.0	23.0	94.0	244.0
070fc272903ae7ea02e3a26448029004	0.0	50.0	0.0	4.0	0.0	4.0	27.0	0.0	0.0	0.0	26.0	0.0	0.0	48.0	112.0	0.0	0.0	0.0	0.0	196.0	0.0	0.0	831.0	191.0	0.0	1329.0	792.0	3.0	4954.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	225.0	1163.0	406.0	6.0	1224.0	464.0	21.0	3651.0	4241.0	7.0
6112d362565c5797eb555106a550d353	0.0	152.0	0.0	4397.0	932.0	0.0	16.0	209.0	0.0	0.0	0.0	95.0	149.0	43.0	364.0	42.0	0.0	210.0	63.0	162.0	6772.0	0.0	0.0	0.0	53.0	2381.0	142.0	0.0	231.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	377.0	0.0	12.0	20.0	125.0	0.0	15.0	1091.0	130.0	191.0	52.0
b0e2901a3144577502094e1a45b83b8e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	681.0	0.0	2069.0	1943.0	0.0	0.0	28.0	33.0	1972.0	63.0	0.0	246.0	0.0	22.0	4452.0	26.0	0.0	3783.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	93.0	0.0	0.0	32.0	102.0	7.0	201.0	310.0	230.0	23.0
91ada6fb397c5c20b7d5c013f14347d2	558.0	73.0	735.0	0.0	23.0	31.0	351.0	0.0	231.0	4847.0	436.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	333.0	0.0	28.0	60.0	0.0	76.0	1518.0	684.0	0.0	50.0	0.0	3657.0	0.0	963.0	52.0	118.0	455.0	0.0	68.0	335.0	0.0	190.0	55.0	28.0
858603b5b6c7332924623a52faa10212	1121.0	0.0	1493.0	0.0	0.0	0.0	82.0	0.0	52.0	675.0	337.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	23.0	0.0	318.0	306.0	8456.0	32.0	191.0	0.0	847.0	0.0	398.0	0.0	146.0	0.0	0.0	0.0	37.0	0.0	260.0	0.0	0.0
f53fb3f38d79e34ce7b297027093b4cd	46.0	950.0	1763.0	933.0	4539.0	101.0	173.0	783.0	63.0	337.0	131.0	12.0	22.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	403.0	0.0	0.0	25.0	0.0	34.0	0.0	0.0	29.0	79.0	128.0	281.0	352.0	837.0	70.0	28.0	131.0	38.0	23.0	28.0	126.0	0.0	19.0	33.0	14.0	86.0	470.0
82dec3eeac5d034d118bba43fddd01fe	0.0	713.0	480.0	748.0	1357.0	139.0	70.0	165.0	45.0	24.0	85.0	34.0	516.0	27.0	103.0	40.0	0.0	158.0	0.0	208.0	1338.0	5.0	164.0	0.0	142.0	714.0	0.0	24.0	344.0	45.0	78.0	435.0	151.0	88.0	31.0	29.0	186.0	25.0	34.0	0.0	464.0	114.0	387.0	801.0	1513.0	236.0	832.0
