sampleID	sample_id_18S	old_sample_label	month	type	tube_label	sample_collection	envi_collection_date	temp	dissolved_oxygen	conduct.	pH	free_Cl	Br	turbidity	num_filters_used	SG_Total	SG1_count	SG2_count	SG4_count	SG6_count	Grand_Total_Leg_per_L	Leg_per_L_in_Serogroup_1	Leg_per_L_in_Serogroup_2	Leg_per_L_in_Serogroup_4	Leg_per_L_in_Serogroup_6	new_16S_R1	new_16S_R2	old_16S_R1	old_16S_R2	new_18S_R1	new_18S_R2	old_18S_R1	old_18S_R2
mar15_W_38	mar15_W_38_18S	38	march	dark	W	3/15/16	3/2/16	13.9	100	0.55	8.48	7.5	17.1	3.3	1	74	26	0	48	0	1.12E+06	3.95E+05	0.00E+00	7.30E+05	0.00E+00	mar15_W_38_18S_16S_S1_L001_R1_001.fastq	mar15_W_38_18S_16S_S1_L001_R2_001.fastq	3816S_S1_L001_R1_001.fastq	3816S_S1_L001_R2_001.fastq	mar15_W_38_18S_S1_L001_R1_001.fastq	mar15_W_38_18S_S1_L001_R2_001.fastq	3818S_S1_L001_R1_001.fastq	3818S_S1_L001_R2_001.fastq
mar24_E_46	mar24_E_46_18S	46	march	bright	E	3/24/16	3/2/16	13.9	100	0.55	8.48	7.5	17.1	3.3	1	74	26	0	48	0	1.12E+06	3.95E+05	0.00E+00	7.30E+05	0.00E+00	mar24_E_46_18S_16S_S2_L001_R1_001.fastq	mar24_E_46_18S_16S_S2_L001_R2_001.fastq	4616S_S2_L001_R1_001.fastq	4616S_S2_L001_R2_001.fastq	mar24_E_46_18S_S2_L001_R1_001.fastq	mar24_E_46_18S_S2_L001_R2_001.fastq	4618S_S2_L001_R1_001.fastq	4618S_S2_L001_R2_001.fastq
mar24_W_47	mar24_W_47_18S	47	march	dark	W	3/24/16	3/2/16	13.9	100	0.55	8.48	7.5	17.1	3.3	1	74	26	0	48	0	1.12E+06	3.95E+05	0.00E+00	7.30E+05	0.00E+00	mar24_W_47_18S_16S_S3_L001_R1_001.fastq	mar24_W_47_18S_16S_S3_L001_R2_001.fastq	4716S_S3_L001_R1_001.fastq	4716S_S3_L001_R2_001.fastq	mar24_W_47_18S_S3_L001_R1_001.fastq	mar24_W_47_18S_S3_L001_R2_001.fastq	4718S_S3_L001_R1_001.fastq	4718S_S3_L001_R2_001.fastq
mar24_H2O_48	mar24_H2O_48_18S	48	march	water	H2O	3/24/16	3/2/16	13.9	100	0.55	8.48	7.5	17.1	3.3	1	74	26	0	48	0	1.12E+06	3.95E+05	0.00E+00	7.30E+05	0.00E+00	mar24_H2O_48_18S_16S_S4_L001_R1_001.fastq	mar24_H2O_48_18S_16S_S4_L001_R2_001.fastq	4816S_S4_L001_R1_001.fastq	4816S_S4_L001_R2_001.fastq	mar24_H2O_48_18S_S4_L001_R1_001.fastq	mar24_H2O_48_18S_S4_L001_R2_001.fastq	4818S_S4_L001_R1_001.fastq	4818S_S4_L001_R2_001.fastq
mar30_E_55	mar30_E_55_18S	55	march	bright	E	3/30/16	3/2/16	13.9	100	0.55	8.48	7.5	17.1	3.3	1	74	26	0	48	0	1.12E+06	3.95E+05	0.00E+00	7.30E+05	0.00E+00	mar30_E_55_18S_16S_S5_L001_R1_001.fastq	mar30_E_55_18S_16S_S5_L001_R2_001.fastq	5516S_S5_L001_R1_001.fastq	5516S_S5_L001_R2_001.fastq	mar30_E_55_18S_S5_L001_R1_001.fastq	mar30_E_55_18S_S5_L001_R2_001.fastq	5518S_S5_L001_R1_001.fastq	5518S_S5_L001_R2_001.fastq
mar30_W_56	mar30_W_56_18S	56	march	dark	W	3/30/16	3/2/16	13.9	100	0.55	8.48	7.5	17.1	3.3	1	74	26	0	48	0	1.12E+06	3.95E+05	0.00E+00	7.30E+05	0.00E+00	mar30_W_56_18S_16S_S6_L001_R1_001.fastq	mar30_W_56_18S_16S_S6_L001_R2_001.fastq	5616S_S6_L001_R1_001.fastq	5616S_S6_L001_R2_001.fastq	mar30_W_56_18S_S6_L001_R1_001.fastq	mar30_W_56_18S_S6_L001_R2_001.fastq	5618S_S6_L001_R1_001.fastq	5618S_S6_L001_R2_001.fastq
mar30_H2O_57	mar30_H2O_57_18S	57	march	water	H2O	3/30/16	3/2/16	13.9	100	0.55	8.48	7.5	17.1	3.3	1	74	26	0	48	0	1.12E+06	3.95E+05	0.00E+00	7.30E+05	0.00E+00	mar30_H2O_57_18S_16S_S7_L001_R1_001.fastq	mar30_H2O_57_18S_16S_S7_L001_R2_001.fastq	5716S_S7_L001_R1_001.fastq	5716S_S7_L001_R2_001.fastq	mar30_H2O_57_18S_S7_L001_R1_001.fastq	mar30_H2O_57_18S_S7_L001_R2_001.fastq	5718S_S7_L001_R1_001.fastq	5718S_S7_L001_R2_001.fastq
apr5_E_64	apr5_E_64_18S	64	april	bright	E	4/5/16	4/11/16	12.7	100	0.598	8.39	3.92	8.74	4	2	12	8	0	4	0	1.82E+05	1.22E+05	0.00E+00	6.08E+04	0.00E+00	apr5_E_64_18S_16S_S8_L001_R1_001.fastq	apr5_E_64_18S_16S_S8_L001_R2_001.fastq	6416S_S8_L001_R1_001.fastq	6416S_S8_L001_R2_001.fastq	apr5_E_64_18S_S8_L001_R1_001.fastq	apr5_E_64_18S_S8_L001_R2_001.fastq	6418S_S8_L001_R1_001.fastq	6418S_S8_L001_R2_001.fastq
apr5_W_65	apr5_W_65_18S	65	april	dark	W	4/5/16	4/11/16	12.7	100	0.598	8.39	3.92	8.74	4	2	12	8	0	4	0	1.82E+05	1.22E+05	0.00E+00	6.08E+04	0.00E+00	apr5_W_65_18S_16S_S9_L001_R1_001.fastq	apr5_W_65_18S_16S_S9_L001_R2_001.fastq	6516S_S9_L001_R1_001.fastq	6516S_S9_L001_R2_001.fastq	apr5_W_65_18S_S9_L001_R1_001.fastq	apr5_W_65_18S_S9_L001_R2_001.fastq	6518S_S9_L001_R1_001.fastq	6518S_S9_L001_R2_001.fastq
apr5_H2O_66	apr5_H2O_66_18S	66	april	water	H2O	4/5/16	4/11/16	12.7	100	0.598	8.39	3.92	8.74	4	2	12	8	0	4	0	1.82E+05	1.22E+05	0.00E+00	6.08E+04	0.00E+00	apr5_H2O_66_18S_16S_S10_L001_R1_001.fastq	apr5_H2O_66_18S_16S_S10_L001_R2_001.fastq	6616S_S10_L001_R1_001.fastq	6616S_S10_L001_R2_001.fastq	apr5_H2O_66_18S_S10_L001_R1_001.fastq	apr5_H2O_66_18S_S10_L001_R2_001.fastq	6618S_S10_L001_R1_001.fastq	6618S_S10_L001_R2_001.fastq
