OTU	apr13_E_73	apr13_H2O_75	apr13_W_74	apr20_E_82	apr20_H2O_84	apr20_W_83	apr27_H2O_93	apr27_W_92	apr5_E_64	apr5_H2O_66	apr5_W_65	aug3_E_184	aug3_H2O_186	aug3_W_185	jul20_E_175	jul20_H2O_177	jul20_W_176	jul7_E_166	jul7_H2O_168	jul7_W_167	jun1_E_136	jun1_H2O_138	jun1_W_137	jun21_E_157	jun21_H2O_159	jun21_W_158	jun7_E_148	jun7_H2O_150	jun7_W_149	mar15_W_38	mar24_E_46	mar24_H2O_48	mar24_W_47	mar30_E_55	mar30_H2O_57	mar30_W_56	may10_E_109	may10_H2O_111	may10_W_110	may18_E_118	may18_H2O_120	may18_W_119	may25_E_127	may25_H2O_129	may25_W_128	may5_E_100	may5_W_101
ASV1	51042	59	23	1001	14176	981	0	31725	231298	10657	45898	61	6	14	25	0	0	0	111	0	137	15	34	0	29	0	6	39	590	62524	153772	5985	80107	97	288	1804	163	0	19	0	88	216	244	17	22	29	166
ASV2	3944	13	211	2385	0	0	98	1851	21537	13	26	694	44402	36269	634	5404	707	261	11637	14023	43	860	2044	676	100967	78317	110	84	769	16	37367	184	70	28	14	59	2371	0	77	302	389	159	16936	132	5361	3108	51
ASV3	392	9647	1354	24553	2280	78627	135	378	2366	672	562	0	0	0	0	0	0	18	62	0	0	0	0	0	0	0	11	0	117	224	6073	1788	1956	0	103	0	82	964	72	7592	187	52	19408	309	1741	24	0
ASV4	21	3126	3634	28199	89	3528	1908	38	17	0	102	176	0	0	0	0	0	0	127	56	0	114	41	0	0	0	0	1598	73	0	17	46	0	0	46	0	59	40877	452	2954	6560	38	9419	6672	13343	968	15630
ASV5	1556	152	559	5310	188	5148	195	1923	8664	41	1127	103	402	617	0	419	11	305	286	243	104	612	289	469	402	115	0	273	644	250	42766	14212	2963	22	8	6886	262	526	173	661	335	91	1017	262	716	229	336
ASV6	9	12248	96	5365	804	188	413	0	23	808	0	373	208	806	0	742	13	0	77	63	167	3831	2003	644	50	60	259	2063	2810	32	13	0	0	4	50	0	5859	12012	14977	26	1862	1798	15	5899	36	258	10124
ASV7	0	0	26	0	0	0	662	0	0	0	10	96	231	0	22	1316	0	0	1677	5	189	946	4012	83	2487	34	0	6814	501	0	3	0	0	0	0	91	0	40	0	790	15200	24	6355	21839	2862	756	1010
ASV8	5557	0	0	802	410	954	0	12035	30281	212	5409	185	0	0	0	0	0	0	0	0	61	0	134	0	4	0	0	0	1379	43	54	0	0	0	91	0	51	15	455	368	0	100	55	0	0	0	4
ASV9	0	4	0	897	1178	163	518	0	0	0	6	4150	264	744	10182	150	7	532	189	42	2615	1024	8379	83	224	98	0	7	541	99	953	0	0	0	5596	0	324	20	15	976	180	2077	7057	692	2751	491	2583
ASV10	4414	25	64	7451	1460	952	37	14238	13897	1130	471	55	23	51	358	37	49	0	0	135	0	0	43	142	0	0	0	27	542	638	436	0	4956	0	173	203	0	90	22	134	225	92	100	56	6	51	19
