OTU	apr13_E_73	apr13_H2O_75	apr13_W_74	apr20_E_82	apr20_H2O_84	apr20_W_83	apr27_H2O_93	apr27_W_92	apr5_E_64	apr5_H2O_66	apr5_W_65	aug3_E_184	aug3_H2O_186	aug3_W_185	jul20_E_175	jul20_H2O_177	jul20_W_176	jul7_E_166	jul7_H2O_168	jul7_W_167	jun1_E_136	jun1_H2O_138	jun1_W_137	jun21_E_157	jun21_H2O_159	jun21_W_158	jun7_E_148	jun7_H2O_150	jun7_W_149	mar15_W_38	mar24_E_46	mar24_H2O_48	mar24_W_47	mar30_E_55	mar30_H2O_57	mar30_W_56	may10_E_109	may10_H2O_111	may10_W_110	may18_E_118	may18_H2O_120	may18_W_119	may25_E_127	may25_H2O_129	may25_W_128	may5_E_100	may5_W_101
df0984b6e7d4dce8c9821552527c51a9	51042.0	59.0	23.0	1001.0	14176.0	981.0	0.0	31725.0	231298.0	10657.0	45898.0	61.0	6.0	14.0	25.0	0.0	0.0	0.0	111.0	0.0	137.0	15.0	34.0	0.0	29.0	0.0	6.0	39.0	590.0	62524.0	153772.0	5985.0	80107.0	97.0	288.0	1804.0	163.0	0.0	19.0	0.0	88.0	216.0	244.0	17.0	22.0	29.0	166.0
fc41dea7d927bf3e5d2ad267ab08ec43	3944.0	13.0	211.0	2385.0	0.0	0.0	98.0	1851.0	21537.0	13.0	26.0	694.0	44402.0	36269.0	634.0	5404.0	707.0	261.0	11637.0	14023.0	43.0	860.0	2044.0	676.0	100967.0	78317.0	110.0	84.0	769.0	16.0	37367.0	184.0	70.0	28.0	14.0	59.0	2371.0	0.0	77.0	302.0	389.0	159.0	16936.0	132.0	5361.0	3108.0	51.0
1825da143fb82e24d798edc7fca7f854	392.0	9647.0	1354.0	24553.0	2280.0	78627.0	135.0	378.0	2366.0	672.0	562.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	117.0	224.0	6073.0	1788.0	1956.0	0.0	103.0	0.0	82.0	964.0	72.0	7592.0	187.0	52.0	19408.0	309.0	1741.0	24.0	0.0
c44baac1cf8f2402bdb02b5defaa7a82	21.0	3126.0	3634.0	28199.0	89.0	3528.0	1908.0	38.0	17.0	0.0	102.0	176.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	56.0	0.0	114.0	41.0	0.0	0.0	0.0	0.0	1598.0	73.0	0.0	17.0	46.0	0.0	0.0	46.0	0.0	59.0	40877.0	452.0	2954.0	6560.0	38.0	9419.0	6672.0	13343.0	968.0	15630.0
0e3fece35be7de20c46401d6ceb92a85	1556.0	152.0	559.0	5310.0	188.0	5148.0	195.0	1923.0	8664.0	41.0	1127.0	103.0	402.0	617.0	0.0	419.0	11.0	305.0	286.0	243.0	104.0	612.0	289.0	469.0	402.0	115.0	0.0	273.0	644.0	250.0	42766.0	14212.0	2963.0	22.0	8.0	6886.0	262.0	526.0	173.0	661.0	335.0	91.0	1017.0	262.0	716.0	229.0	336.0
2f38f34e5264d8c3c0de0f240b93167e	9.0	12248.0	96.0	5365.0	804.0	188.0	413.0	0.0	23.0	808.0	0.0	373.0	208.0	806.0	0.0	742.0	13.0	0.0	77.0	63.0	167.0	3831.0	2003.0	644.0	50.0	60.0	259.0	2063.0	2810.0	32.0	13.0	0.0	0.0	4.0	50.0	0.0	5859.0	12012.0	14977.0	26.0	1862.0	1798.0	15.0	5899.0	36.0	258.0	10124.0
0f541a789466b7f8ecb3045e97ee1c9b	0.0	0.0	26.0	0.0	0.0	0.0	662.0	0.0	0.0	0.0	10.0	96.0	231.0	0.0	22.0	1316.0	0.0	0.0	1677.0	5.0	189.0	946.0	4012.0	83.0	2487.0	34.0	0.0	6814.0	501.0	0.0	3.0	0.0	0.0	0.0	0.0	91.0	0.0	40.0	0.0	790.0	15200.0	24.0	6355.0	21839.0	2862.0	756.0	1010.0
93a7a1a68934375a64cb03bdf91bb6ed	5557.0	0.0	0.0	802.0	410.0	954.0	0.0	12035.0	30281.0	212.0	5409.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	134.0	0.0	4.0	0.0	0.0	0.0	1379.0	43.0	54.0	0.0	0.0	0.0	91.0	0.0	51.0	15.0	455.0	368.0	0.0	100.0	55.0	0.0	0.0	0.0	4.0
e56660f2f887bc957e46563a2a826d2a	0.0	4.0	0.0	897.0	1178.0	163.0	518.0	0.0	0.0	0.0	6.0	4150.0	264.0	744.0	10182.0	150.0	7.0	532.0	189.0	42.0	2615.0	1024.0	8379.0	83.0	224.0	98.0	0.0	7.0	541.0	99.0	953.0	0.0	0.0	0.0	5596.0	0.0	324.0	20.0	15.0	976.0	180.0	2077.0	7057.0	692.0	2751.0	491.0	2583.0
1cc2c505e6ce97e9a6739098efc32fca	4414.0	25.0	64.0	7451.0	1460.0	952.0	37.0	14238.0	13897.0	1130.0	471.0	55.0	23.0	51.0	358.0	37.0	49.0	0.0	0.0	135.0	0.0	0.0	43.0	142.0	0.0	0.0	0.0	27.0	542.0	638.0	436.0	0.0	4956.0	0.0	173.0	203.0	0.0	90.0	22.0	134.0	225.0	92.0	100.0	56.0	6.0	51.0	19.0
bd0872d8ab2302020fa375b64bbd45a6	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	428.0	1729.0	2625.0	0.0	1555.0	38.0	393.0	2389.0	28.0	0.0	13367.0	393.0	29.0	410.0	0.0	0.0	2512.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2638.0	6304.0	182.0	158.0	10434.0	25.0	154.0	1427.0
71a02d4f55a9ad688238a55d59a903e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	389.0	682.0	1554.0	16.0	611.0	169.0	44.0	435.0	76.0	0.0	17831.0	5648.0	0.0	752.0	0.0	10.0	1236.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	328.0	1436.0	0.0	943.0	491.0	75.0	0.0	79.0
727c6ec4936ebe5fce295889a2accc55	794.0	13.0	0.0	197.0	5881.0	626.0	0.0	494.0	2956.0	4496.0	314.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4182.0	7431.0	41.0	1409.0	0.0	426.0	563.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
3b9e6051867d7194f1d822408f252f8c	0.0	0.0	0.0	0.0	69.0	0.0	142.0	0.0	0.0	38.0	0.0	322.0	318.0	1282.0	5.0	82.0	0.0	56.0	79.0	296.0	0.0	3745.0	1186.0	73.0	2497.0	75.0	0.0	2424.0	2050.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	271.0	1331.0	147.0	2318.0	8655.0	217.0	61.0	0.0
7e27909809146541455cfbcecc97c8db	0.0	0.0	10.0	0.0	34.0	0.0	498.0	0.0	36.0	25.0	0.0	57.0	186.0	122.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	356.0	0.0	79.0	0.0	16.0	340.0	81.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	47.0	147.0	191.0	2026.0	580.0	178.0	1653.0	5515.0	10768.0	111.0	958.0
2ff49f5ccf213636d8603aae8c7232d7	0.0	401.0	0.0	8.0	18766.0	0.0	39.0	12.0	0.0	3498.0	0.0	20.0	4.0	0.0	0.0	0.0	0.0	674.0	0.0	0.0	0.0	8.0	0.0	34.0	0.0	0.0	18.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	227.0	0.0	0.0	126.0	0.0	203.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
